施術カテゴリ,施術名,対象部位,回数,通常価格（税込）,初回価格,回数券価格,キャンペーン価格,プリペイド割価格
医療脱毛,レディース脱毛,乳輪周り,5.00%,27500,,,,
医療脱毛,レディース脱毛,全身パーフェクト（顔・うなじ・VIO付き）,,132000,,,,
医療脱毛,レディース脱毛,全身パーフェクト（顔・うなじ・VIO付き）,,660000,,,330000,
医療脱毛,レディース脱毛,全身パーフェクト（顔・うなじ・VIO付き）,,1056000,,,,
医療脱毛,レディース脱毛,全身（顔・うなじ・VIO除く）,,82500,,,,
医療脱毛,レディース脱毛,全身（顔・うなじ・VIO除く）,10.00%,660000,,,,
医療脱毛,レディース脱毛,全身（顔・うなじ・VIO除く）,5.00%,412500,,,198000,
医療脱毛,レディース脱毛,剃毛代（1部位）,,3300,,,,
医療脱毛,レディース脱毛,口周囲（鼻下＋顎）,,9900,,,,
医療脱毛,レディース脱毛,口周囲（鼻下＋顎）,10.00%,79200,,,,
医療脱毛,レディース脱毛,口周囲（鼻下＋顎）,5.00%,49500,,,,
医療脱毛,レディース脱毛,手の甲・指,,3300,,,,
医療脱毛,レディース脱毛,手の甲・指,10.00%,26400,,,,
医療脱毛,レディース脱毛,手の甲・指,5.00%,16500,,,,
医療脱毛,レディース脱毛,打ち放題30分,,13200,,,,
医療脱毛,レディース脱毛,打ち放題60分,,21000,,,,
医療脱毛,レディース脱毛,背中上,,13200,,,,
医療脱毛,レディース脱毛,背中上,10.00%,105600,,,,
医療脱毛,レディース脱毛,背中上,5.00%,66000,,,,
医療脱毛,レディース脱毛,背中下,,13200,,,,
医療脱毛,レディース脱毛,背中下,10.00%,105600,,,,
医療脱毛,レディース脱毛,背中下,5.00%,66000,,,,
医療脱毛,レディース脱毛,胸,,13200,,,,
医療脱毛,レディース脱毛,胸,10.00%,105600,,,,
医療脱毛,レディース脱毛,胸,5.00%,66000,,,,
医療脱毛,レディース脱毛,腹部,,13200,,,,
医療脱毛,レディース脱毛,腹部,10.00%,105600,,,,
医療脱毛,レディース脱毛,腹部,5.00%,66000,,,,
医療脱毛,レディース脱毛,臀部,,13200,,,,
医療脱毛,レディース脱毛,臀部,10.00%,105600,,,,
医療脱毛,レディース脱毛,臀部,5.00%,66000,,,,
医療脱毛,レディース脱毛,足の甲・指,,3300,,,,
医療脱毛,レディース脱毛,足の甲・指,10.00%,26400,,,,
医療脱毛,レディース脱毛,足の甲・指,5.00%,16500,,,,
医療脱毛,レディース脱毛,顔全体,,13200,,,,
医療脱毛,レディース脱毛,顔全体,10.00%,105600,,,,
医療脱毛,レディース脱毛,顔全体,5.00%,66000,,,66000,
医療脱毛,レディース脱毛,１ショット,,550,,,,
点滴・注射,にんにく注射,,,3300,,,,
点滴・注射,プラセンタ注射,１A,,3300,,,,
点滴・注射,プラチナ白玉点滴,,,11000,,,,
点滴・注射,白玉点滴,,,8800,,,,
点滴・注射,脂肪燃焼注射,,,3300,,,,
点滴・注射,高濃度ビタミンC,,,11000,,,,
内服・外用薬,アカルボース（糖質乳収剤）,10錠,,2200,,,,
内服・外用薬,アカルボース（糖質乳収剤）,90錠,,16500,,,,
内服・外用薬,サノレックス（食欲抑制）,10錠,,11000,,,,
内服・外用薬,サノレックス（食欲抑制）,30錠,,8800,,,,
内服・外用薬,シナール,30錠,,1650,,,,
内服・外用薬,シミ肝斑セット,トラネキサム酸・シナール・ユベラＮ30錠,,6600,,,,
内服・外用薬,ゼニカル（脂質排泄）,1か月84カプセル,,3300,,,,
内服・外用薬,ゼニカル（脂質排泄）,1週間21カプセル,,11000,,,,
内服・外用薬,デキサンVG5g,,,770,,,,
内服・外用薬,トラネキサム酸,30錠,,3300,,,,
内服・外用薬,トレチノイン5g,,,1650,,,,
内服・外用薬,ニキビ・肌荒れセット,シナール・ユベラＮ・ビフロキシン30錠,,5500,,,,
内服・外用薬,ハイドロキノン4g,,,2200,,,,
内服・外用薬,ヘリオケア,,,8800,,,,
内服・外用薬,ユベラN,30錠,,1650,,,,
内服・外用薬,リベルサス,3㎎30錠,,13200,,,,
内服・外用薬,リベルサス,7㎎30錠,,24200,,,,
内服・外用薬,リンデロンVG5g,,,770,,,,
内服・外用薬,防己黄耆湯,90包,,3300,,,,
内服・外用薬,防風通聖散,90包,,3300,,,,
フェイシャル,CHニュアンス,顔,,22000,13200,,,
フェイシャル,CHニュアンス,顔➕首➕デコルテ,,27500,18700,,,
フェイシャル,アフター再生トリートメント,,,13200,,,,
フェイシャル,エピダーマルスキン30分,顔,,27500,22000,,,
フェイシャル,エピダーマルスキン45分,顔,,33000,,,,
フェイシャル,スキンメイド60分,顔,,16500,13200,,,
フェイシャル,スキンメイド90分,顔,,19800,,,,
フェイシャル,トロイピール,顔,,25000,22000,,,
フェイシャル,ハーブピーリング,顔,,27500,11000,,,
フェイシャル,ハーブピーリング背中,背中,,44000,22000,,,
フェイシャル,ハーブピーリング背中半分,背中半分,,27500,16500,,,
フェイシャル,ＣＨアンストレス,顔,,18700,11000,,,
フェイシャル,ＣＨイラストリアス,顔,,18700,11000,,,
フェイシャル,ＣＨコモデックス,顔,,12100,7700,,,
フェイシャル,ＣＨシャトーデボーテ,顔,,15400,7700,,,
フェイシャル,ＣＨシルク,顔,,18700（22000）,11000,,,
フェイシャル,ＣＨビオフィート,顔,,15400,7700,,,
フェイシャル,ＣＨフォーエバーヤング,顔,,18700,11000,,,
フェイシャル,ＣＨミューズ,顔,,15400,7700,,,
フェイシャル,ＣＨローズドメーラ,顔,,27500,11000,,,
フェイシャル,Ｈ２ハイドロフェイシャル顔60分,顔,,13200,,,,
フェイシャル,Ｈ２ハイドロフェイシャル顔＋頭70分,顔＋頭,,16500,,,,
フェイシャル,ＯＰイオン導入,ＶＣor トラネキサム酸＋ｱﾙｹﾞﾏｽｸ,,8800,,,,
フェイシャル,ＯＰエクソソームアンプル導入,,,16500,,,,
フェイシャル,ＯＰガビラン10分,,,4400,,,,
フェイシャル,ＯＰシルクコラーゲン,顔,,3300,,,,
フェイシャル,ＯＰヒーライト10分,顔,,5500,,,,
フェイシャル,ＯＰプラズマのみ,,,11000,,,,
フェイシャル,ＯＰプラズマリフティング,プラズマ＋エクソソームアンプル,,22000,,,,
フェイシャル,ＯＰプラズマリフティング,プラズマ＋タイトニング,,16500,,,,
フェイシャル,ＯＰプラズマリフティング,プラズマ＋ヒト臍帯由来幹細胞培養上清液,,33000,,,,
フェイシャル,ＯＰプラズマリフティング,プラズマ＋プラセンタ,,14300,,,,
フェイシャル,ＯＰプラズマリフティング,プラズマ＋リジェンセラム,,16500,,,,
フェイシャル,ＯＰプラズマリフティング,プラズマ＋純正エクソソーム,,55000,,,,
フェイシャル,ＯＰプラズマリフティング,プラズマ＋ＶＣ,,14300,,,,
フェイシャル,ＯＰヘッドカッサ10分,,,4400,,,,
フェイシャル,ＯＰヘッドマッサージ10分,,,3300,,,,
フェイシャル,ＯＰ幹細胞美容液導入,,,11000,,,,
フェイシャル,ＯＰ肌質別マスク,,,3300,,,,
フェイシャル,ＶＶＳトリートメント,顔,,25000,22000,,,
リラクゼーション,OPBDSクリーム,身体,,3300,,,,
リラクゼーション,OPキャビゼロ10分,身体,,4400,22000,,,
リラクゼーション,OPキャビテーション&ラジオ波10分,身体,,4400,22000,,,
リラクゼーション,OPスリミングマッサージ10分,身体,,3300,11000,,,
リラクゼーション,OPハイパーウッド30分,身体,,8800,,,,
リラクゼーション,OPヒートマット20分,身体,,5500,,,,
リラクゼーション,OPラジオ波/キャビテーション10分,身体,,3300,,,,
リラクゼーション,OPラセールオイル1パーツ,身体,,3300,,,,
リラクゼーション,OPラセールオイル全身,身体,,5500,,,,
リラクゼーション,OPリフレ足ツボ20分,身体,,3300,16500,,,
リラクゼーション,OPリンパマッサージ10分,身体,,2200,22000,,,
リラクゼーション,OP電磁波EMS1箇所30分,身体,,16500,22000,,,
リラクゼーション,チネイザン20分,身体,,5500,13200,,,
リラクゼーション,ボディ&フェイシャルアロマ90分,身体,,11000,,,,
リラクゼーション,ラセールデコルテ・ヘッド15分,身体,,6600,8800,,,
リラクゼーション,ラセールハンド10分,身体,,4400,7700,,,
リラクゼーション,ラセールフット20分,身体,,8800,7700,,,
リラクゼーション,ラセールボディ&フェイシャルアロマ90分,身体,,16500,,,,
リラクゼーション,ラセールボディアロマリンパマッサージ60分,身体,,11000,,,,
リラクゼーション,ラセールボディアロマリンパマッサージ90分,身体,,15400,,,,
リラクゼーション,経絡マッサージ70分,身体,,15400,11000,,,
リラクゼーション,経絡マッサージ＋発汗付き,身体,,19800,11000,,,
ボディ,OPBDSクリーム,身体,,3300,,,,
ボディ,OPキャビゼロ10分,身体,,4400,,,,
ボディ,OPキャビテーション&ラジオ波10分,身体,,4400,,,,
ボディ,OPスリミングマッサージ10分,身体,,3300,,,,
ボディ,OPハイパーウッド30分,身体,,8800,,,,
ボディ,OPヒートマット20分,身体,,5500,,,,
ボディ,OPラジオ波/キャビテーション10分,身体,,3300,,,,
ボディ,OPラセールオイル1パーツ,身体,,3300,,,,
ボディ,OPラセールオイル全身,身体,,5500,,,,
ボディ,OPリフレ足ツボ20分,身体,,3300,,,,
ボディ,OPリンパマッサージ10分,身体,,2200,,,,
ボディ,OP電磁波EMS1箇所30分,身体,,16500,,,,
ボディ,カスタム痩身60分,身体,,24200,,,,
ボディ,カスタム痩身90分,身体,,36300,,,,
ボディ,キャビゼロ瘦身60分,身体,,24200,,,,
ボディ,キャビゼロ瘦身＋発汗付き120分,身体,,48400,,,,
ボディ,キャビゼロ瘦身＋発汗付き90分,身体,,36300,,,,
ボディ,キャビラジ+スリミング経絡マッサージ60分,身体,,24200,,,,
ボディ,キャビラジ+スリミング経絡マッサージ90分,身体,,36300,,,,
ボディ,スリミング経絡マッサージ＋電磁波EMS60分,身体,,26400,,,,
ボディ,チネイザン20分,身体,,5500,,,,
ボディ,ハイパーウッド30分,身体,,8800,,,,
ボディ,ハイパーウッド60分,身体,,13200,,,,
ボディ,ハイパーウッド90分,身体,,19800,,,,
ボディ,ボディ&フェイシャルアロマ90分,身体,,11000,,,,
ボディ,ポールシェリーリラクシング90分,身体,,19800,,,,
ボディ,ラセールデコルテ・ヘッド15分,身体,,6600,,,,
ボディ,ラセールハンド10分,身体,,4400,,,,
ボディ,ラセールフット20分,身体,,8800,,,,
ボディ,ラセールボディ&フェイシャルアロマ90分,身体,,16500,,,,
ボディ,ラセールボディアロマリンパマッサージ60分,身体,,11000,,,,
ボディ,ラセールボディアロマリンパマッサージ90分,身体,,15400,,,,
ボディ,経絡マッサージ70分,身体,,15400,,,,
ボディ,経絡マッサージ＋発汗付き,身体,,19800,,,,
エステブライダル,1day集中コース120分,顔,,27500,,,,
エステブライダル,1day集中コース＋美白フェイシャル180分,顔,,32500,,,,
エステブライダル,フェイシャル＋デコルテor背中トリートメント90分,顔＋デコルテ/背中,,27500,13200,,,
エステブライダル,ベーシックフェイシャル50分,顔,,8800,,,,
エステブライダル,二の腕&背中痩せ50分,二の腕＋背中,,19800,6600,,,
エステマタニティ,ヘッド＋デコルテ/フットマッサージ30分,身体,,4400,,,,
エステマタニティ,全身オイルトリートメント50分,身体,,7700,,,,
オプション,ウーバーピール,,,11000,,,,8800
オプション,エクソソームアンプル,,,11000,,,,8800
オプション,ヒアルロン酸,,,5500,,,,4400
オプション,美白,,,11000,,,,8800
バーティカルリフト,PDO,,,330000,,,231000,297000
バーティカルリフト,PDO,中顔面,,220000,,,165000,198000
医療ボディ痩身,,,20.00%,330000,,,,
医療ボディ痩身,,,20.00%,247500,,,,
医療ボディ痩身,,,20.00%,82500,,,,
医療ボディ痩身,,,20.00%,825000,,,,
医療ボディ痩身,,,20.00%,618750,,,,
医療ボディ痩身,,,20.00%,825000,,,,
医療ボディ痩身,,,20.00%,618750,,,,
医療ボディ痩身,,,20.00%,123750,,,,
医療ボディ痩身,,,20.00%,82500,,,,
医療ボディ痩身,,,20.00%,1113750,,,,
医療ボディ痩身,,,20.00%,618750,,,,
医療ボディ痩身,ウルトラフォーマーMPT,お腹,10.00%,495000,,,,
医療ボディ痩身,ウルトラフォーマーMPT,お腹　1320S,20.00%,165000,,,,
医療ボディ痩身,ウルトラフォーマーMPT,お腹（ライト）,10.00%,371250,,,,
医療ボディ痩身,ウルトラフォーマーMPT,お腹（ライト）　880S,20.00%,123750,66000,,,
医療ボディ痩身,ウルトラフォーマーMPT,ひざ上,10.00%,74250,,,,
医療ボディ痩身,ウルトラフォーマーMPT,ひざ上,10.00%,49500,,,,
医療ボディ痩身,ウルトラフォーマーMPT,ひざ上　180S,20.00%,24750,,,,
医療ボディ痩身,ウルトラフォーマーMPT,ひざ上（ライト）　120S,20.00%,16500,,,,
医療ボディ痩身,ウルトラフォーマーMPT,ウエスト,10.00%,495000,,,,
医療ボディ痩身,ウルトラフォーマーMPT,ウエスト　1200S,20.00%,165000,,,,
医療ボディ痩身,ウルトラフォーマーMPT,ウエスト（ライト）,10.00%,371250,,,,
医療ボディ痩身,ウルトラフォーマーMPT,ウエスト（ライト）800S,20.00%,123750,66000,,,
医療ボディ痩身,ウルトラフォーマーMPT,ブラファット,10.00%,49500,,,,
医療ボディ痩身,ウルトラフォーマーMPT,ブラファット　120S,20.00%,16500,,,,
医療ボディ痩身,ウルトラフォーマーMPT,二の腕,10.00%,198000,,,,
医療ボディ痩身,ウルトラフォーマーMPT,二の腕　540S,20.00%,66000,39800,,,
医療ボディ痩身,ウルトラフォーマーMPT,二の腕（ライト）,10.00%,148500,,,,
医療ボディ痩身,ウルトラフォーマーMPT,二の腕（ライト）　360S,20.00%,49500,,,,
医療ボディ痩身,ウルトラフォーマーMPT,内ももor外もも,10.00%,371250,,,,
医療ボディ痩身,ウルトラフォーマーMPT,内ももor外もも　840S,20.00%,123750,66000,,,
医療ボディ痩身,ウルトラフォーマーMPT,太もも周り,10.00%,668250,,,,
医療ボディ痩身,ウルトラフォーマーMPT,太もも周り　1680S,20.00%,222750,,,,
医療ボディ痩身,脂肪冷却（クラツーα）,身体1部位1エリア,20.00%,41250,19800,,9900,
医療ボディ痩身,脂肪冷却（クラツーα）,身体1部位1エリア,20.00%,55000,19800,,33000,
医療ボディ痩身,脂肪冷却（クラツーα）,身体1部位2エリア同時施術,20.00%,82500,39600,,19800,
医療ボディ痩身,脂肪冷却（クラツーα）,身体1部位2エリア同時施術,20.00%,110000,39600,,138600,
医療ボディ痩身,脂肪冷却（クラツーα）,身体1部位3エリア同時施術,20.00%,123750,59400,,,
医療ボディ痩身,脂肪冷却（クラツーα）,身体1部位3エリア同時施術,20.00%,165000,59400,,,
医療ボディ痩身,脂肪冷却（クラツーα）,身体1部位4エリア同時施術,20.00%,165000,79200,,,
医療ボディ痩身,脂肪冷却（クラツーα）,身体1部位4エリア同時施術,20.00%,220000,79200,,,
医療ボディ痩身,脂肪冷却（クラツーα）,身体　2カップ同時施術,10％,247500,,,,
医療ボディ痩身,脂肪冷却（クラツーα）,身体　2カップ同時施術,20.00%,412500,,,,
医療ボディ痩身,脂肪冷却（クラツーα）,身体　2カップ同時施術,30.00%,330000,,,,
医療ボディ痩身,脂肪冷却（クラツーα）,身体　2カップ同時施術,40.00%,550000,,,,
医療ボディ痩身,脂肪冷却（クラツーα）,身体　4カップ同時施術,10％,495000,,,,
医療ボディ痩身,脂肪冷却（クラツーα）,身体　4カップ同時施術,20.00%,825000,,,,
医療ボディ痩身,脂肪溶解注射,顔1cc,,11000,8800,,,
医療ボディ痩身,脂肪溶解注射FATXCORE,顔1cc,,13200,10560,,,
医療ボディ痩身,脂肪溶解注射（ボディコントゥア）,身体10cc,,110000,,,74800,
医療ボディ痩身,脂肪溶解注射（ボディコントゥア）,身体1cc,,11000,8800,,,
医療ボディ痩身,脂肪溶解注射（ボディコントゥア）,身体20cc,,220000,,,140800,
医療ボディ痩身,脂肪溶解注射（ボディコントゥア）,身体5cc,,55000,,,39600,
美容外科（脱脂・埋没）,,6本,,330000,,,,10％
美容外科（脱脂・埋没）,タレ目形成,,,220000,,,,10％
美容外科（脱脂・埋没）,ネックリフト,,,660000,,,,10％
美容外科（脱脂・埋没）,中顔面リフト,4本,,220000,,,,10％
美容外科（脱脂・埋没）,二重埋没法（1年間保証付）,,1回,132000,,,,10％
美容外科（脱脂・埋没）,局所麻酔,,1回,1100,,,,
美容外科（脱脂・埋没）,局所麻酔,,1回,16500,,,,
美容外科（脱脂・埋没）,点眼麻酔,,1回,5500,,,,
美容外科（脱脂・埋没）,目の下のくま・たるみ取り,,1回,220000,,,,10％
美容外科（脱脂・埋没）,目の下のくま・たるみ取り,ハムラ法,1回,385000,,,,10％
美容外科（脱脂・埋没）,目の下のくま・たるみ取り,裏ハムラ法,1回,440000,,,,10％
美容外科（脱脂・埋没）,眉下切開,,,440000,,,,10％
美容外科（脱脂・埋没）,笑気麻酔,,1回,5500,,,,
美容外科（脱脂・埋没）,笑気麻酔,30分,1回,11000,,,,
美容外科（脱脂・埋没）,自然癒着法,4点留め,1回,220000,,,,10％
美容外科（脱脂・埋没）,自然癒着法,6点留め,1回,275000,,,,10％
美容外科（脱脂・埋没）,静脈麻酔,,1回,55000,,,,
脂肪吸引,ジョールファット,,,198000,,,158400,10％
脂肪吸引,頬,,,220000,,,176000,10％
脂肪吸引,頬➕顎下,,,440000,,,308000,10％
脂肪吸引,顎下,,,220000,,,176000,10％
